map EGL-G1-C
fac 5 10 {0,193,13,116,108}
hosp 1 {0}
n_ALS 6 1 {2:193,4:116}
86    744    11    42  0.593514  {1,0,0}     28    0
28    749    55    56  0.871105  {1,0,0}     25    1
21    749    12    16  0.502715  {0,3,0}     22    1
101   763    59    71  0.858144  {0,2,0}     28    0
39    773   210   211  0.980769  {0,3,0}     30    1
56    773   189   241  0.879276  {0,1,0}     24    1
36    776   129   136  0.889949  {0,2,0}     30    0
0     776   199   201  0.557728  {1,0,0}     33    1
83    781    98   130  0.064427  {0,3,0}     31    1
127   790   167   175  0.916556  {0,1,0}     36    1
102   793    58    59  0.751139  {1,1,0}     30    1
8     794    78    79  0.927609  {0,1,1}     26    1
32    816    78    79  0.735717  {1,0,0}     30    1
117   822   206   207  0.035488  {1,1,0}     31    1
22    824   155   156  0.364455  {1,1,0}     28    1
66    834   124   125  0.136152  {1,1,0}     30    1
121   840     6    27  0.329793  {0,1,0}     27    0
97    845    31    38  0.554394  {1,1,0}     32    0
96    851   241   242  0.561067  {1,0,0}     31    1
95    852     4    22  0.143822  {0,1,1}     30    0
62    855    89    91  0.187292  {1,1,0}     32    1
79    856   124   125  0.299679  {0,1,1}     27    1
103   856    88    96  0.603139  {1,1,0}     29    1
10    865    50    52  0.699095  {1,0,0}     21    1
63    876   138   139  0.017401  {0,3,0}     26    0
113   888   222   223  0.703732  {0,2,0}     33    1
105   905   131   132  0.245052  {0,1,0}     24    1
89    912   226   231  0.182269  {0,1,0}     21    1
33    916    77    78  0.463694  {1,1,0}     28    1
68    932     3     4  0.575833  {0,0,1}     36    1
40    960    96   114  0.412507  {1,1,0}     28    1
48    978    40    41  0.566616  {0,2,0}     28    0
122   994   124   125  0.911330  {0,1,0}     38    0
120   997    29    30  0.844617  {0,3,0}     34    0
46   1006   237   240  0.724972  {0,1,0}     30    1
92   1021   116   117  0.789635  {0,0,1}     25    0
74   1026    26    28  0.086407  {0,0,1}     20    1
44   1032    41    51  0.198535  {0,1,0}     28    1
45   1043    75    77  0.103190  {1,0,0}     39    1
94   1053   111   112  0.607144  {0,1,0}     33    0
61   1054   110   113  0.344423  {1,1,0}     30    1
75   1059    78    79  0.150969  {1,1,0}     22    1
47   1065   156   160  0.388572  {1,1,0}     35    1
58   1116   178   183  0.278120  {0,2,0}     30    0
90   1124    73    74  0.180611  {0,1,0}     34    0
42   1125   161   162  0.156472  {0,1,1}     23    0
114  1126    39    40  0.514674  {0,1,0}     40    0
37   1127    61    62  0.366983  {0,2,0}     37    1
78   1130    53    55  0.993130  {0,1,0}     40    0
50   1134    32    33  0.119427  {0,0,1}     40    1
27   1160   232   233  0.010002  {1,0,0}     28    1
82   1176   116   118  0.349353  {0,2,0}     28    1
69   1182   192   193  0.029101  {1,0,0}     38    1
54   1186   123   124  0.591774  {0,2,0}     33    0
16   1190    96   114  0.726353  {0,1,0}     33    1
99   1193    50    53  0.032011  {1,0,0}     25    1
17   1195   178   179  0.053868  {0,1,0}     33    1
88   1201    97   126  0.626596  {1,3,0}     32    1
55   1204   153   156  0.956637  {0,2,0}     30    1
15   1228    96   114  0.240457  {0,3,0}     21    1
52   1235   106   107  0.873282  {1,0,0}     25    1
110  1241    72    73  0.223953  {0,1,1}     32    1
43   1262   169   170  0.368801  {0,2,0}     21    1
59   1303   184   185  0.593908  {0,2,0}     31    0
7    1338   134   135  0.912520  {0,1,0}     40    1
4    1374   100   101  0.128975  {0,0,1}     33    1
31   1414    71    72  0.539143  {0,0,1}     27    0
