map EGL-G1-A
fac 5 10 {0,19,175,242,105}
hosp 1 {0}
n_ALS 8 1 {1:0,4:19,1:242,2:105}
n_BLS 15 1 {6:0,7:242,2:105}
53    714    55    56  0.171888  {0,1,0}     26    0
12    718    84   100  0.906016  {0,1,0}     35    1
67    719   244   248  0.362799  {0,2,0}     21    1
25    747    50    52  0.576743  {0,1,0}     21    1
39    759   170   171  0.752755  {1,0,0}     28    1
26    770    43    44  0.431069  {0,2,0}     27    0
0     775     5    26  0.983876  {0,2,0}     33    0
113   777    24    26  0.588223  {0,3,0}     40    1
118   784     8     9  0.863558  {0,1,0}     30    1
5     790   105   117  0.476142  {0,1,0}     25    0
124   792   203   210  0.799971  {0,2,0}     39    0
111   792   178   183  0.869350  {0,2,0}     36    1
80    794   139   141  0.881665  {0,1,0}     35    0
32    812    19    25  0.930221  {0,3,0}     30    1
8     822     2     3  0.750530  {0,1,1}     34    1
71    828   120   121  0.713571  {0,1,0}     22    0
114   848   130   131  0.635251  {0,3,0}     39    1
43    859    81    82  0.784331  {1,0,0}     32    1
83    864   242   245  0.892019  {1,1,0}     35    1
117   886    43    46  0.747966  {1,1,0}     24    1
77    888   124   125  0.826446  {0,3,0}     37    1
23    893     5    26  0.587565  {0,1,0}     21    0
30    897   240   242  0.411403  {0,0,1}     35    1
90    898    38    40  0.102041  {0,1,0}     20    1
3     913    10    41  0.045128  {0,2,0}     21    0
18    921   124   125  0.132028  {0,1,0}     31    0
13    934   147   148  0.722841  {0,2,0}     29    0
40    941   198   199  0.557274  {0,1,1}     35    0
4     942    49    56  0.129629  {0,0,1}     34    1
99    944   120   121  0.431821  {0,1,0}     28    1
122   958    69    70  0.025048  {1,1,0}     20    1
119   965   105   107  0.915803  {0,3,0}     40    1
63    974   115   116  0.885410  {0,2,0}     24    1
21    977    39    40  0.287093  {0,3,0}     22    1
20    978    29    31  0.302590  {0,2,0}     35    0
6     981    60    67  0.646774  {0,0,1}     27    1
82    998    39    72  0.873671  {0,1,0}     22    0
115  1017   106   107  0.166739  {1,1,0}     38    1
106  1025   241   242  0.114587  {0,1,0}     27    0
61   1026    18    19  0.016343  {0,1,0}     37    1
123  1027    26    28  0.913363  {1,1,0}     24    1
31   1028    83    85  0.042925  {0,2,0}     22    0
29   1032   171   172  0.355764  {0,2,0}     21    0
51   1047    91    92  0.325725  {0,2,0}     23    0
69   1052   163   164  0.198880  {0,2,0}     22    0
121  1054   110   113  0.465743  {1,0,0}     34    1
41   1058   137   138  0.182445  {0,3,0}     34    1
97   1081   231   232  0.055828  {0,1,0}     38    1
57   1083   198   199  0.558785  {0,3,0}     40    0
62   1107   199   202  0.677924  {0,1,0}     40    0
68   1113    39    72  0.897738  {0,2,0}     25    1
125  1125    68    69  0.461797  {0,1,0}     36    1
34   1135   127   128  0.418580  {0,2,0}     31    1
28   1155   212   218  0.712204  {0,3,0}     20    1
98   1156   207   208  0.541413  {0,3,0}     24    1
45   1174   246   247  0.602160  {0,3,0}     26    1
105  1186    16    18  0.370225  {0,1,0}     34    1
16   1211   204   209  0.295059  {0,1,1}     24    1
10   1212   107   108  0.427988  {1,0,0}     28    1
27   1228    45    46  0.530209  {1,0,0}     38    1
60   1230   243   244  0.480441  {0,1,0}     26    0
110  1252    31    32  0.185070  {0,2,0}     32    1
11   1259    96   111  0.907026  {0,2,0}     24    0
33   1276    38    40  0.172635  {0,1,0}     25    0
108  1320    13    14  0.394038  {0,0,1}     40    0
75   1349   119   161  0.862040  {1,0,0}     37    1
96   1353     7     8  0.796538  {1,1,0}     39    1
38   1358   219   220  0.916633  {0,3,0}     27    1
22   1383   160   164  0.179562  {0,2,0}     36    1
76   1396    70    71  0.968158  {0,1,0}     24    1
42   1434   157   158  0.910815  {1,1,0}     23    1
81   1436    80    88  0.867127  {0,2,0}     35    1
